"date","datatype","station","value","fl_m","fl_q","fl_so","fl_t","units"
"2016-01-01T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2016-01-02T00:00:00","PRCP","GHCND:AR000875850",180,"","","S","","mm_tenths"
"2016-01-03T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2016-01-05T00:00:00","PRCP","GHCND:AR000875850",10,"","","S","","mm_tenths"
"2016-01-06T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2016-01-08T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2016-01-11T00:00:00","PRCP","GHCND:AR000875850",20,"","","S","","mm_tenths"
"2016-01-12T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2016-01-13T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2016-01-21T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2016-01-23T00:00:00","PRCP","GHCND:AR000875850",41,"","","S","","mm_tenths"
"2016-01-24T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2016-01-25T00:00:00","PRCP","GHCND:AR000875850",71,"","","S","","mm_tenths"
"2016-01-26T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2016-01-29T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2016-01-30T00:00:00","PRCP","GHCND:AR000875850",30,"","","S","","mm_tenths"
"2016-01-31T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2016-02-08T00:00:00","PRCP","GHCND:AR000875850",399,"","","S","","mm_tenths"
"2016-02-09T00:00:00","PRCP","GHCND:AR000875850",99,"","","S","","mm_tenths"
"2016-02-10T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2016-02-13T00:00:00","PRCP","GHCND:AR000875850",450,"","","S","","mm_tenths"
"2016-02-14T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2016-02-17T00:00:00","PRCP","GHCND:AR000875850",391,"","","S","","mm_tenths"
"2016-02-18T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2016-02-19T00:00:00","PRCP","GHCND:AR000875850",310,"","","S","","mm_tenths"
"2016-02-20T00:00:00","PRCP","GHCND:AR000875850",30,"","","S","","mm_tenths"
"2016-02-21T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2016-02-26T00:00:00","PRCP","GHCND:AR000875850",71,"","","S","","mm_tenths"
"2016-02-27T00:00:00","PRCP","GHCND:AR000875850",150,"","","S","","mm_tenths"
"2016-02-28T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2016-03-01T00:00:00","PRCP","GHCND:AR000875850",41,"","","S","","mm_tenths"
"2016-03-02T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2016-03-05T00:00:00","PRCP","GHCND:AR000875850",30,"","","S","","mm_tenths"
"2016-03-06T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2016-03-11T00:00:00","PRCP","GHCND:AR000875850",3,"","","S","","mm_tenths"
"2016-03-12T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2016-03-18T00:00:00","PRCP","GHCND:AR000875850",279,"","","S","","mm_tenths"
"2016-03-19T00:00:00","PRCP","GHCND:AR000875850",10,"","","S","","mm_tenths"
